WorkToHome,temperature,dewPoint,precipType,HomeToWork,windSpeed,visibility,cloudCover,time,precipIntensity,summary,precipProbability
2724,53.34,51.14,"null",2484,4.46,7.67,1,2014-10-28T16:20:17.000Z,0,"Overcast",0
2454,53.37,51.02,"null",2439,4.62,7.71,1,2014-10-28T16:25:18.000Z,0,"Overcast",0
2460,53.5,50.79,"null",2448,4.78,7.75,1,2014-10-28T16:30:18.000Z,0,"Overcast",0
2418,53.57,50.71,"null",2453,4.98,7.79,1,2014-10-28T16:35:18.000Z,0,"Overcast",0
2396,53.62,50.62,"null",2452,5.15,7.83,1,2014-10-28T16:40:18.000Z,0,"Overcast",0
2437,54.18,51.88,"null",2438,4.07,7.88,1,2014-10-28T16:45:18.000Z,0,"Overcast",0
2459,54.23,51.86,"null",2512,4.15,7.92,1,2014-10-28T16:50:17.000Z,0,"Overcast",0
2397,54.27,51.83,"null",2496,4.23,7.96,1,2014-10-28T16:55:17.000Z,0,"Overcast",0
2409,54.25,51.66,"null",2507,4.68,8,1,2014-10-28T17:00:18.000Z,0,"Overcast",0
2403,54.25,51.51,"null",2474,4.93,8,1,2014-10-28T17:05:18.000Z,0,"Overcast",0
2402,54.15,51.27,"null",2434,5.23,8.01,1,2014-10-28T17:10:17.000Z,0,"Overcast",0
